Cell #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,,1016423.9531200001,1137.6076526326744,89.99118809330648,1284.465692329483,1071.9392697934263,16348.718217594647,16348.718217594647,16348.718217594647,16348.718217594647
2,,7.4201760000000005,3.0737048511681766,-7.1176227091090905,5.137471573837695,1.9100861207033237,10.364105914634772,10.364105914634772,10.364105914634772,10.364105914634772
3,,1.8550440000000001,1.5368524255840883,88.23025196369029,4.017206439908553,0.5573312727205556,3.272026478658693,3.272026478658693,3.272026478658693,3.272026478658693
4,,6.389596000000001,2.852277388698655,-87.38177537712151,3.8991012581418114,2.247410841181183,9.206291265245618,9.206291265245618,9.206291265245618,9.206291265245618
5,,89.042112,10.64762593938843,83.82259458620837,34.3141113578336,8.583709666305836,76.68867434452795,76.68867434452795,76.68867434452795,76.68867434452795
6,,6.595712000000001,2.897916724836007,-8.36558345199986,4.829429853302123,1.8406392006675938,9.926238307928234,9.926238307928234,9.926238307928234,9.926238307928234
7,,15.046468,4.376957626730261,-50.56787583793746,5.471891865368163,3.652001150057197,14.592529573173852,14.592529573173852,14.592529573173852,14.592529573173852
8,,33.390792000000005,6.520312630881016,-16.957220748461786,8.610032981989304,5.079766748648654,22.718900274395548,22.718900274395548,22.718900274395548,22.718900274395548
9,,5.771248000000001,2.7107528799345983,-56.15387467709204,3.1582927395415457,2.484702115749939,8.39231774390431,8.39231774390431,8.39231774390431,8.39231774390431
10,,7.007944000000001,2.987104187685712,-71.68296869326812,4.082006352467507,2.474979436496246,9.660291265245618,9.660291265245618,9.660291265245618,9.660291265245618
11,,35.245836000000004,6.698984414256404,77.73452380657548,8.427132558903871,5.430277459162112,22.18700618903032,22.18700618903032,22.18700618903032,22.18700618903032
12,,6.18348,2.805895803496449,23.394000941223513,3.2801148267486764,2.4377561857415686,8.39231774390431,8.39231774390431,8.39231774390431,8.39231774390431
13,,18.756556000000003,4.886879251857937,34.531065154122324,4.980218153664012,4.856503731832941,15.078794359760778,15.078794359760778,15.078794359760778,15.078794359760778
14,,14.634236000000001,4.316582905746968,-23.135468922758996,5.0214101429120195,3.8938117053875883,14.482370701221695,14.482370701221695,14.482370701221695,14.482370701221695
15,,3.09174,1.9840679499552158,-17.372242226439912,4.264579802071921,0.9775382598844874,6.012158871952155,6.012158871952155,6.012158871952155,6.012158871952155
16,,19.374904,4.966779031550275,-72.30502156161845,5.25642150357334,4.758890056161359,15.610688445126007,15.610688445126007,15.610688445126007,15.610688445126007
17,,0.6183480000000001,0.8873021616157026,90.00003218077504,1.4827577909647505,0.0,0.454,0.454,0.454,0.454
18,,9.481336,3.4744800952259185,-22.736137712458703,4.540764688437915,2.692216101582315,11.492423658539082,11.492423658539082,11.492423658539082,11.492423658539082
19,,2.2672760000000003,1.699054284603338,-53.40436490858386,2.6065789260448113,1.1522754727533668,4.556132393293463,4.556132393293463,4.556132393293463,4.556132393293463
20,,36.276416000000005,6.796217138413352,-22.206098728829915,7.694613885763575,6.287596750011081,22.718900274395548,22.718900274395548,22.718900274395548,22.718900274395548
21,,11.748612000000001,3.8676604548680427,16.077762874196964,4.738911847237448,3.1970022646868688,12.134476615856467,12.134476615856467,12.134476615856467,12.134476615856467
22,,5.565132,2.6619064848471075,27.56062725579571,3.0284972376543533,2.328520763899749,7.640105914634772,7.640105914634772,7.640105914634772,7.640105914634772
23,,1.8550440000000001,1.5368524255840883,-4.731162795706488,2.3945133505712795,0.8835096325032505,4.180026478658693,4.180026478658693,4.180026478658693,4.180026478658693
24,,9.275220000000001,3.436506494991458,73.36358992156448,4.992376305249202,2.3599872220037312,11.492423658539082,11.492423658539082,11.492423658539082,11.492423658539082
25,,1.8550440000000001,1.5368524255840883,54.21749379768709,1.9297014263942565,1.1858543870114049,3.4600794359760774,3.4600794359760774,3.4600794359760774,3.4600794359760774
26,,7.007944000000001,2.987104187685712,-68.6546736848155,3.4448203421774415,2.812790493494585,9.316450137197773,9.316450137197773,9.316450137197773,9.316450137197773
27,,10.511916000000001,3.658440534180414,-67.6792952623332,4.088232835131856,3.314025323436899,11.226476615856466,11.226476615856466,11.226476615856466,11.226476615856466
28,,48.23114400000001,7.83644050756567,-3.3580288408721564,9.250835050885136,6.68316218755969,25.81900618903032,25.81900618903032,25.81900618903032,25.81900618903032
29,,3.09174,1.9840679499552158,8.789218747969112,3.537510774252531,1.162613375041349,6.090052957317385,6.090052957317385,6.090052957317385,6.090052957317385
30,,0.6183480000000001,0.8873021616157026,90.00003218077504,1.4827577909647505,0.0,0.454,0.454,0.454,0.454
31,,0.41223200000000004,0.7244791812090018,90.00003218077504,0.908,0.0,0.0,0.0,0.0,0.0
32,,21.023832000000002,5.1738162205734115,-59.50942562190563,7.46506731617531,3.666701147310345,18.60063548780862,18.60063548780862,18.60063548780862,18.60063548780862
33,,32.154096,6.398426881070902,73.82461572326831,9.56836384629063,4.394837550423282,24.268953231712935,24.268953231712935,24.268953231712935,24.268953231712935
34,,40.192620000000005,7.15365872756825,-44.29269143544819,8.334773830089384,6.2029504963497635,23.51674140244339,23.51674140244339,23.51674140244339,23.51674140244339
35,,7.214060000000001,3.030713854868544,-5.5575805139997145,5.134872197368478,1.838775326233658,10.74021182926954,10.74021182926954,10.74021182926954,10.74021182926954
36,,14.222004000000002,4.255351677380104,19.907452676278325,4.617482706528449,3.983580823985967,13.30842365853908,13.30842365853908,13.30842365853908,13.30842365853908
37,,29.062356000000005,6.0830371462264825,-79.54958582111593,6.867371360667427,5.447055535072073,20.150688445126008,20.150688445126008,20.150688445126008,20.150688445126008
38,,110.27206000000001,11.849166530664027,-47.03561315728636,48.26815308200123,8.087060159162977,96.65130983233657,96.65130983233657,96.65130983233657,96.65130983233657
39,,3.2978560000000003,2.049136567445451,5.056874521381975,6.222780361192047,0.8499729856663504,7.0920794359760775,7.0920794359760775,7.0920794359760775,7.0920794359760775
40,,10.924148,3.7294848472864905,-32.30309806418901,4.27958748368879,3.265002559492302,11.492423658539082,11.492423658539082,11.492423658539082,11.492423658539082
41,,171.282396,14.767651130230151,-58.24846008149983,19.93737181490423,11.267378175604055,53.564171250012784,53.564171250012784,53.564171250012784,53.564171250012784
42,,1.2366960000000002,1.2548347508798905,77.06684915928662,1.9809555489004715,0.7513744457491733,2.27,2.27,2.27,2.27
43,,12.985308000000002,4.066129319901898,-45.71575816963374,5.404023760374755,3.1271705907705605,13.15263548780862,13.15263548780862,13.15263548780862,13.15263548780862
44,,9.275220000000001,3.436506494991458,72.50728594710363,3.838103207097384,3.1710900846168326,10.396370701221697,10.396370701221697,10.396370701221697,10.396370701221697
45,,0.8244640000000001,1.0245682837227255,0.0,2.030349723569809,0.0,0.908,0.908,0.908,0.908
46,,10.924148,3.7294848472864905,69.67054609801991,5.5369829460835485,2.5724185352914257,12.776529573173852,12.776529573173852,12.776529573173852,12.776529573173852
47,,16.48928,4.582008659988611,21.62817006152541,5.226580511472517,4.142787582907876,14.936370701221698,14.936370701221698,14.936370701221698,14.936370701221698
48,,23.909456000000002,5.517469064009821,-2.672276728061101,6.1304611152625,5.014194656699822,17.69263548780862,17.69263548780862,17.69263548780862,17.69263548780862
49,,24.321688,5.564830182162855,-7.701896490113285,5.713160599835529,5.449229857227695,17.426688445126008,17.426688445126008,17.426688445126008,17.426688445126008
50,,135.00598000000002,13.110871538983382,-21.04617365099849,32.78454139044981,7.731318755554446,81.10515096038442,81.10515096038442,81.10515096038442,81.10515096038442
51,,15.664816000000002,4.465989609504269,-33.73122817886137,5.319580579553159,3.8209046872941013,14.060635487808623,14.060635487808623,14.060635487808623,14.060635487808623
52,,6.801828,2.9428483457505727,65.40697382936617,3.9149510004425156,2.2881320400155074,9.28418535061085,9.28418535061085,9.28418535061085,9.28418535061085
53,,4.740668,2.4568284364319286,46.46671570442022,4.266348918307758,1.4565501320642655,8.486344222563003,8.486344222563003,8.486344222563003,8.486344222563003
54,,42.666012,7.370485309295785,-14.9228710890382,8.72181956712741,6.4057995520487525,25.802873795736854,25.802873795736854,25.802873795736854,25.802873795736854
55,,8.656872000000002,3.3199806873098794,-13.360061677698159,4.473611626953405,2.766927110081238,11.304370701221698,11.304370701221698,11.304370701221698,11.304370701221698
56,,13.397540000000001,4.130166792052245,-46.444064563038985,5.743692642136939,2.9703377121964274,13.418582530491237,13.418582530491237,13.418582530491237,13.418582530491237
57,,5.771248000000001,2.7107528799345983,60.01996138263065,3.931649058802917,1.897776595109328,8.658264786586926,8.658264786586926,8.658264786586926,8.658264786586926
